PassengerId,Survived,Pclass,Sex,Age,Sibilings or spouse,Parents or Children,Fare,Embarked
157,1,3,female,Teen,0,0,7.73,Ireland
158,0,3,male,Adult,0,0,8.05,England
159,0,3,male,Adult,0,0,8.66,England
160,0,3,male,Adult,8,2,69.55,England
161,0,3,male,Middle-aged,0,1,16.1,England
162,1,2,female,Middle-aged,0,0,15.75,England
163,0,3,male,Adult,0,0,7.78,England
164,0,3,male,Teen,0,0,8.66,England
165,0,3,male,Infant,4,1,39.69,England
166,1,3,male,Child,0,2,20.53,England
167,1,1,female,Adult,0,1,55.0,England
168,0,3,female,Middle-aged,1,4,27.9,England
169,0,1,male,Adult,0,0,25.93,England
170,0,3,male,Adult,0,0,56.5,England
171,0,1,male,Senior,0,0,33.5,England
172,0,3,male,Child,4,1,29.13,Ireland
173,1,3,female,Infant,1,1,11.13,England
174,0,3,male,Adult,0,0,7.93,England
175,0,1,male,Middle-aged,0,0,30.7,France
176,0,3,male,Teen,1,1,7.85,England
177,0,3,male,Adult,3,1,25.47,England
178,0,1,female,Middle-aged,0,0,28.71,France
179,0,2,male,Adult,0,0,13.0,England
180,0,3,male,Middle-aged,0,0,0.0,England
181,0,3,female,Adult,8,2,69.55,England
182,0,2,male,Adult,0,0,15.05,France
183,0,3,male,Child,4,2,31.39,England
184,1,2,male,Infant,2,1,39.0,England
185,1,3,female,Child,0,2,22.03,England
186,0,1,male,Adult,0,0,50.0,England
187,1,3,female,Adult,1,0,15.5,Ireland
188,1,1,male,Middle-aged,0,0,26.55,England
189,0,3,male,Middle-aged,1,1,15.5,Ireland
190,0,3,male,Middle-aged,0,0,7.9,England
191,1,2,female,Adult,0,0,13.0,England
192,0,2,male,Adult,0,0,13.0,England
193,1,3,female,Adult,1,0,7.85,England
194,1,2,male,Child,1,1,26.0,England
195,1,1,female,Middle-aged,0,0,27.72,France
196,1,1,female,Middle-aged,0,0,146.52,France
197,0,3,male,Adult,0,0,7.75,Ireland
198,0,3,male,Middle-aged,0,1,8.4,England
199,1,3,female,Adult,0,0,7.75,Ireland
200,0,2,female,Adult,0,0,13.0,England
201,0,3,male,Adult,0,0,9.5,England
202,0,3,male,Adult,8,2,69.55,England
203,0,3,male,Adult,0,0,6.5,England
204,0,3,male,Middle-aged,0,0,7.23,France
205,1,3,male,Teen,0,0,8.05,England
206,0,3,female,Child,0,1,10.46,England
207,0,3,male,Adult,1,0,15.85,England
208,1,3,male,Adult,0,0,18.79,France
209,1,3,female,Teen,0,0,7.75,Ireland
210,1,1,male,Middle-aged,0,0,31.0,France
211,0,3,male,Adult,0,0,7.05,England
212,1,2,female,Adult,0,0,21.0,England
213,0,3,male,Adult,0,0,7.25,England
214,0,2,male,Adult,0,0,13.0,England
215,0,3,male,Adult,1,0,7.75,Ireland
216,1,1,female,Adult,1,0,113.28,France
217,1,3,female,Adult,0,0,7.93,England
218,0,2,male,Middle-aged,1,0,27.0,England
219,1,1,female,Adult,0,0,76.29,France
220,0,2,male,Adult,0,0,10.5,England
221,1,3,male,Teen,0,0,8.05,England
222,0,2,male,Adult,0,0,13.0,England
223,0,3,male,Middle-aged,0,0,8.05,England
224,0,3,male,Adult,0,0,7.9,England
225,1,1,male,Middle-aged,1,0,90.0,England
226,0,3,male,Adult,0,0,9.35,England
227,1,2,male,Adult,0,0,10.5,England
228,0,3,male,Adult,0,0,7.25,England
229,0,2,male,Teen,0,0,13.0,England
230,0,3,female,Adult,3,1,25.47,England
231,1,1,female,Adult,1,0,83.48,England
232,0,3,male,Adult,0,0,7.78,England
233,0,2,male,Middle-aged,0,0,13.5,England
234,1,3,female,Child,4,2,31.39,England
235,0,2,male,Adult,0,0,10.5,England
236,0,3,female,Adult,0,0,7.55,England
237,0,2,male,Middle-aged,1,0,26.0,England
238,1,2,female,Child,0,2,26.25,England
239,0,2,male,Adult,0,0,10.5,England
240,0,2,male,Adult,0,0,12.28,England
241,0,3,female,Adult,1,0,14.45,France
242,1,3,female,Adult,1,0,15.5,Ireland
243,0,2,male,Adult,0,0,10.5,England
244,0,3,male,Adult,0,0,7.13,England
245,0,3,male,Adult,0,0,7.23,France
246,0,1,male,Middle-aged,2,0,90.0,Ireland
247,0,3,female,Adult,0,0,7.78,England
248,1,2,female,Adult,0,2,14.5,England
249,1,1,male,Middle-aged,1,1,52.55,England
250,0,2,male,Middle-aged,1,0,26.0,England
251,0,3,male,Adult,0,0,7.25,England
252,0,3,female,Adult,1,1,10.46,England
253,0,1,male,Senior,0,0,26.55,England
254,0,3,male,Adult,1,0,16.1,England
255,0,3,female,Middle-aged,0,2,20.21,England
256,1,3,female,Adult,0,2,15.25,France
257,1,1,female,Adult,0,0,79.2,France
258,1,1,female,Adult,0,0,86.5,England
259,1,1,female,Adult,0,0,512.33,France
260,1,2,female,Middle-aged,0,1,26.0,England
261,0,3,male,Adult,0,0,7.75,Ireland
262,1,3,male,Child,4,2,31.39,England
263,0,1,male,Middle-aged,1,1,79.65,England
264,0,1,male,Middle-aged,0,0,0.0,England
265,0,3,female,Adult,0,0,7.75,Ireland
266,0,2,male,Middle-aged,0,0,10.5,England
267,0,3,male,Teen,4,1,39.69,England
268,1,3,male,Adult,1,0,7.78,England
269,1,1,female,Middle-aged,0,1,153.46,England
270,1,1,female,Adult,0,0,135.63,England
271,0,1,male,Adult,0,0,31.0,England
272,1,3,male,Adult,0,0,0.0,England
273,1,2,female,Middle-aged,0,1,19.5,England
274,0,1,male,Middle-aged,0,1,29.7,France
275,1,3,female,Adult,0,0,7.75,Ireland
276,1,1,female,Senior,1,0,77.96,England
277,0,3,female,Middle-aged,0,0,7.75,England
278,0,2,male,Adult,0,0,0.0,England
279,0,3,male,Child,4,1,29.13,Ireland
280,1,3,female,Adult,1,1,20.25,England
281,0,3,male,Senior,0,0,7.75,Ireland
282,0,3,male,Adult,0,0,7.85,England
283,0,3,male,Teen,0,0,9.5,England
284,1,3,male,Adult,0,0,8.05,England
285,0,1,male,Adult,0,0,26.0,England
286,0,3,male,Adult,0,0,8.66,France
287,1,3,male,Adult,0,0,9.5,England
288,0,3,male,Adult,0,0,7.9,England
289,1,2,male,Middle-aged,0,0,13.0,England
290,1,3,female,Adult,0,0,7.75,Ireland
291,1,1,female,Adult,0,0,78.85,England
292,1,1,female,Adult,1,0,91.08,France
293,0,2,male,Middle-aged,0,0,12.88,France
294,0,3,female,Adult,0,0,8.85,England
295,0,3,male,Adult,0,0,7.9,England
296,0,1,male,Adult,0,0,27.72,France
297,0,3,male,Adult,0,0,7.23,France
298,0,1,female,Child,1,2,151.55,England
299,1,1,male,Adult,0,0,30.5,England
300,1,1,female,Middle-aged,0,1,247.52,France
301,1,3,female,Adult,0,0,7.75,Ireland
302,1,3,male,Adult,2,0,23.25,Ireland
303,0,3,male,Adult,0,0,0.0,England
304,1,2,female,Adult,0,0,12.35,Ireland
305,0,3,male,Adult,0,0,8.05,England
306,1,1,male,Infant,1,2,151.55,England
307,1,1,female,Adult,0,0,110.88,France
308,1,1,female,Teen,1,0,108.9,France
309,0,2,male,Adult,1,0,24.0,France
310,1,1,female,Adult,0,0,56.93,France
311,1,1,female,Adult,0,0,83.16,France
312,1,1,female,Teen,2,2,262.38,France
313,0,2,female,Adult,1,1,26.0,England
314,0,3,male,Adult,0,0,7.9,England
315,0,2,male,Middle-aged,1,1,26.25,England
316,1,3,female,Adult,0,0,7.85,England
317,1,2,female,Adult,1,0,26.0,England
318,0,2,male,Middle-aged,0,0,14.0,England
319,1,1,female,Adult,0,2,164.87,England
320,1,1,female,Middle-aged,1,1,134.5,France
321,0,3,male,Adult,0,0,7.25,England
322,0,3,male,Adult,0,0,7.9,England
323,1,2,female,Adult,0,0,12.35,Ireland
324,1,2,female,Adult,1,1,29.0,England
325,0,3,male,Adult,8,2,69.55,England
326,1,1,female,Middle-aged,0,0,135.63,France
327,0,3,male,Senior,0,0,6.24,England
328,1,2,female,Middle-aged,0,0,13.0,England
329,1,3,female,Adult,1,1,20.53,England
330,1,1,female,Teen,0,1,57.98,France
331,1,3,female,Adult,2,0,23.25,Ireland
332,0,1,male,Middle-aged,0,0,28.5,England
333,0,1,male,Middle-aged,0,1,153.46,England
334,0,3,male,Teen,2,0,18.0,England
335,1,1,female,Adult,1,0,133.65,England
336,0,3,male,Adult,0,0,7.9,England
337,0,1,male,Adult,1,0,66.6,England
338,1,1,female,Middle-aged,0,0,134.5,France
339,1,3,male,Middle-aged,0,0,8.05,England
340,0,1,male,Middle-aged,0,0,35.5,England
341,1,2,male,Child,1,1,26.0,England
342,1,1,female,Adult,3,2,263.0,England
343,0,2,male,Adult,0,0,13.0,England
344,0,2,male,Adult,0,0,13.0,England
345,0,2,male,Middle-aged,0,0,13.0,England
346,1,2,female,Adult,0,0,13.0,England
347,1,2,female,Middle-aged,0,0,13.0,England
348,1,3,female,Adult,1,0,16.1,England
349,1,3,male,Child,1,1,15.9,England
350,0,3,male,Middle-aged,0,0,8.66,England
351,0,3,male,Adult,0,0,9.23,England
352,0,1,male,Adult,0,0,35.0,England
353,0,3,male,Teen,1,1,7.23,France
354,0,3,male,Adult,1,0,17.8,England
355,0,3,male,Adult,0,0,7.23,France
356,0,3,male,Adult,0,0,9.5,England
357,1,1,female,Adult,0,1,55.0,England
358,0,2,female,Middle-aged,0,0,13.0,England
359,1,3,female,Adult,0,0,7.88,Ireland
360,1,3,female,Adult,0,0,7.88,Ireland
361,0,3,male,Middle-aged,1,4,27.9,England
362,0,2,male,Adult,1,0,27.72,France
363,0,3,female,Middle-aged,0,1,14.45,France
364,0,3,male,Adult,0,0,7.05,England
365,0,3,male,Adult,1,0,15.5,Ireland
366,0,3,male,Adult,0,0,7.25,England
367,1,1,female,Middle-aged,1,0,75.25,France
368,1,3,female,Adult,0,0,7.23,France
369,1,3,female,Adult,0,0,7.75,Ireland
370,1,1,female,Adult,0,0,69.3,France
371,1,1,male,Adult,1,0,55.44,France
372,0,3,male,Teen,1,0,6.5,England
373,0,3,male,Adult,0,0,8.05,England
374,0,1,male,Adult,0,0,135.63,France
375,0,3,female,Child,3,1,21.08,England
376,1,1,female,Adult,1,0,82.17,France
377,1,3,female,Adult,0,0,7.25,England
378,0,1,male,Adult,0,2,211.5,France
379,0,3,male,Adult,0,0,4.01,France
380,0,3,male,Adult,0,0,7.78,England
381,1,1,female,Middle-aged,0,0,227.53,France
382,1,3,female,Infant,0,2,15.74,France
383,0,3,male,Adult,0,0,7.93,England
384,1,1,female,Adult,1,0,52.0,England
385,0,3,male,Adult,0,0,7.9,England
386,0,2,male,Teen,0,0,73.5,England
387,0,3,male,Infant,5,2,46.9,England
388,1,2,female,Middle-aged,0,0,13.0,England
389,0,3,male,Adult,0,0,7.73,Ireland
390,1,2,female,Teen,0,0,12.0,France
391,1,1,male,Middle-aged,1,2,120.0,England
392,1,3,male,Adult,0,0,7.8,England
393,0,3,male,Adult,2,0,7.93,England
394,1,1,female,Adult,1,0,113.28,France
395,1,3,female,Adult,0,2,16.7,England
396,0,3,male,Adult,0,0,7.8,England
397,0,3,female,Adult,0,0,7.85,England
398,0,2,male,Middle-aged,0,0,26.0,England
399,0,2,male,Adult,0,0,10.5,England
400,1,2,female,Adult,0,0,12.65,England
401,1,3,male,Middle-aged,0,0,7.93,England
402,0,3,male,Adult,0,0,8.05,England
403,0,3,female,Adult,1,0,9.83,England
404,0,3,male,Adult,1,0,15.85,England
405,0,3,female,Adult,0,0,8.66,England
406,0,2,male,Adult,1,0,21.0,England
407,0,3,male,Middle-aged,0,0,7.75,England
408,1,2,male,Child,1,1,18.75,England
409,0,3,male,Adult,0,0,7.78,England
410,0,3,female,Adult,3,1,25.47,England
411,0,3,male,Adult,0,0,7.9,England
412,0,3,male,Adult,0,0,6.86,Ireland
413,1,1,female,Adult,1,0,90.0,Ireland
414,0,2,male,Adult,0,0,0.0,England
415,1,3,male,Middle-aged,0,0,7.93,England
416,0,3,female,Adult,0,0,8.05,England
417,1,2,female,Adult,1,1,32.5,England
418,1,2,female,Teen,0,2,13.0,England
419,0,2,male,Adult,0,0,13.0,England
420,0,3,female,Child,0,2,24.15,England
421,0,3,male,Adult,0,0,7.9,France
422,0,3,male,Adult,0,0,7.73,Ireland
423,0,3,male,Adult,0,0,7.88,England
424,0,3,female,Adult,1,1,14.4,England
425,0,3,male,Teen,1,1,20.21,England
426,0,3,male,Adult,0,0,7.25,England
427,1,2,female,Adult,1,0,26.0,England
428,1,2,female,Adult,0,0,26.0,England
429,0,3,male,Adult,0,0,7.75,Ireland
430,1,3,male,Adult,0,0,8.05,England
431,1,1,male,Adult,0,0,26.55,England
432,1,3,female,Adult,1,0,16.1,England
433,1,2,female,Middle-aged,1,0,26.0,England
434,0,3,male,Teen,0,0,7.13,England
435,0,1,male,Middle-aged,1,0,55.9,England
436,1,1,female,Teen,1,2,120.0,England
437,0,3,female,Adult,2,2,34.38,England
438,1,2,female,Adult,2,3,18.75,England
439,0,1,male,Senior,1,4,263.0,England
440,0,2,male,Adult,0,0,10.5,England
441,1,2,female,Middle-aged,1,1,26.25,England
442,0,3,male,Adult,0,0,9.5,England
443,0,3,male,Adult,1,0,7.78,England
444,1,2,female,Adult,0,0,13.0,England
445,1,3,male,Adult,0,0,8.11,England
446,1,1,male,Child,0,2,81.86,England
447,1,2,female,Teen,0,1,19.5,England
448,1,1,male,Adult,0,0,26.55,England
449,1,3,female,Child,2,1,19.26,France
450,1,1,male,Middle-aged,0,0,30.5,England
451,0,2,male,Middle-aged,1,2,27.75,England
452,0,3,male,Adult,1,0,19.97,England
453,0,1,male,Adult,0,0,27.75,France
454,1,1,male,Middle-aged,1,0,89.1,France
455,0,3,male,Adult,0,0,8.05,England
456,1,3,male,Adult,0,0,7.9,France
457,0,1,male,Senior,0,0,26.55,England
458,1,1,female,Adult,1,0,51.86,England
459,1,2,female,Middle-aged,0,0,10.5,England
460,0,3,male,Adult,0,0,7.75,Ireland
461,1,1,male,Middle-aged,0,0,26.55,England
462,0,3,male,Adult,0,0,8.05,England
463,0,1,male,Middle-aged,0,0,38.5,England
464,0,2,male,Middle-aged,0,0,13.0,England
465,0,3,male,Adult,0,0,8.05,England
466,0,3,male,Middle-aged,0,0,7.05,England
467,0,2,male,Adult,0,0,0.0,England
468,0,1,male,Middle-aged,0,0,26.55,England
469,0,3,male,Adult,0,0,7.73,Ireland
470,1,3,female,Infant,2,1,19.26,France
471,0,3,male,Adult,0,0,7.25,England
472,0,3,male,Middle-aged,0,0,8.66,England
473,1,2,female,Adult,1,2,27.75,England
474,1,2,female,Adult,0,0,13.79,France
475,0,3,female,Adult,0,0,9.84,England
476,0,1,male,Adult,0,0,52.0,England
477,0,2,male,Adult,1,0,21.0,England
478,0,3,male,Adult,1,0,7.05,England
479,0,3,male,Adult,0,0,7.52,England
480,1,3,female,Child,0,1,12.29,England
481,0,3,male,Child,5,2,46.9,England
482,0,2,male,Adult,0,0,0.0,England
483,0,3,male,Middle-aged,0,0,8.05,England
484,1,3,female,Senior,0,0,9.59,England
485,1,1,male,Adult,1,0,91.08,France
486,0,3,female,Adult,3,1,25.47,England
487,1,1,female,Adult,1,0,90.0,England
488,0,1,male,Middle-aged,0,0,29.7,France
489,0,3,male,Adult,0,0,8.05,England
490,1,3,male,Child,1,1,15.9,England
491,0,3,male,Adult,1,0,19.97,England
492,0,3,male,Adult,0,0,7.25,England
493,0,1,male,Middle-aged,0,0,30.5,England
494,0,1,male,Senior,0,0,49.5,France
495,0,3,male,Adult,0,0,8.05,England
496,0,3,male,Adult,0,0,14.46,France
497,1,1,female,Middle-aged,1,0,78.27,France
498,0,3,male,Adult,0,0,15.1,England
499,0,1,female,Adult,1,2,151.55,England
500,0,3,male,Adult,0,0,7.8,England
501,0,3,male,Teen,0,0,8.66,England
502,0,3,female,Adult,0,0,7.75,Ireland
503,0,3,female,Adult,0,0,7.63,Ireland
504,0,3,female,Middle-aged,0,0,9.59,England
505,1,1,female,Teen,0,0,86.5,England
506,0,1,male,Teen,1,0,108.9,France
507,1,2,female,Adult,0,2,26.0,England
508,1,1,male,Adult,0,0,26.55,England
509,0,3,male,Adult,0,0,22.53,England
510,1,3,male,Adult,0,0,56.5,England
511,1,3,male,Adult,0,0,7.75,Ireland
512,0,3,male,Adult,0,0,8.05,England
513,1,1,male,Middle-aged,0,0,26.29,England
514,1,1,female,Middle-aged,1,0,59.4,France
515,0,3,male,Adult,0,0,7.5,England
516,0,1,male,Middle-aged,0,0,34.02,England
517,1,2,female,Adult,0,0,10.5,England
518,0,3,male,Adult,0,0,24.15,Ireland
519,1,2,female,Middle-aged,1,0,26.0,England
520,0,3,male,Adult,0,0,7.9,England
521,1,1,female,Adult,0,0,93.5,England
522,0,3,male,Adult,0,0,7.9,England
523,0,3,male,Adult,0,0,7.23,France
524,1,1,female,Middle-aged,0,1,57.98,France
525,0,3,male,Adult,0,0,7.23,France
526,0,3,male,Middle-aged,0,0,7.75,Ireland
527,1,2,female,Middle-aged,0,0,10.5,England
528,0,1,male,Adult,0,0,221.78,England
529,0,3,male,Middle-aged,0,0,7.93,England
530,0,2,male,Adult,2,1,11.5,England
531,1,2,female,Child,1,1,26.0,England
532,0,3,male,Adult,0,0,7.23,France
533,0,3,male,Teen,1,1,7.23,France
534,1,3,female,Adult,0,2,22.36,France
535,0,3,female,Adult,0,0,8.66,England
536,1,2,female,Child,0,2,26.25,England
537,0,1,male,Middle-aged,0,0,26.55,England
538,1,1,female,Adult,0,0,106.43,France
539,0,3,male,Adult,0,0,14.5,England
540,1,1,female,Adult,0,2,49.5,France
541,1,1,female,Middle-aged,0,2,71.0,England
542,0,3,female,Child,4,2,31.28,England
543,0,3,female,Child,4,2,31.28,England
544,1,2,male,Adult,1,0,26.0,England
545,0,1,male,Middle-aged,1,0,106.43,France
546,0,1,male,Senior,0,0,26.0,England
547,1,2,female,Adult,1,0,26.0,England
548,1,2,male,Adult,0,0,13.86,France
549,0,3,male,Adult,1,1,20.53,England
550,1,2,male,Child,1,1,36.75,England
551,1,1,male,Teen,0,2,110.88,France
552,0,2,male,Adult,0,0,26.0,England
553,0,3,male,Adult,0,0,7.83,Ireland
554,1,3,male,Adult,0,0,7.23,France
555,1,3,female,Adult,0,0,7.78,England
556,0,1,male,Senior,0,0,26.55,England
557,1,1,female,Middle-aged,1,0,39.6,France
558,0,1,male,Adult,0,0,227.53,France
559,1,1,female,Middle-aged,1,1,79.65,England
560,1,3,female,Middle-aged,1,0,17.4,England
561,0,3,male,Adult,0,0,7.75,Ireland
562,0,3,male,Middle-aged,0,0,7.9,England
563,0,2,male,Adult,0,0,13.5,England
564,0,3,male,Adult,0,0,8.05,England
565,0,3,female,Adult,0,0,8.05,England
566,0,3,male,Adult,2,0,24.15,England
567,0,3,male,Adult,0,0,7.9,England
568,0,3,female,Adult,0,4,21.08,England
569,0,3,male,Adult,0,0,7.23,France
570,1,3,male,Adult,0,0,7.85,England
571,1,2,male,Senior,0,0,10.5,England
572,1,1,female,Middle-aged,2,0,51.48,England
573,1,1,male,Middle-aged,0,0,26.39,England
574,1,3,female,Adult,0,0,7.75,Ireland
575,0,3,male,Teen,0,0,8.05,England
576,0,3,male,Adult,0,0,14.5,England
577,1,2,female,Adult,0,0,13.0,England
578,1,1,female,Middle-aged,1,0,55.9,England
579,0,3,female,Adult,1,0,14.46,France
580,1,3,male,Adult,0,0,7.93,England
581,1,2,female,Adult,1,1,30.0,England
582,1,1,female,Middle-aged,1,1,110.88,France
583,0,2,male,Middle-aged,0,0,26.0,England
584,0,1,male,Middle-aged,0,0,40.13,France
585,0,3,male,Adult,0,0,8.71,France
586,1,1,female,Teen,0,2,79.65,England
587,0,2,male,Middle-aged,0,0,15.0,England
588,1,1,male,Middle-aged,1,1,79.2,France
589,0,3,male,Adult,0,0,8.05,England
590,0,3,male,Adult,0,0,8.05,England
591,0,3,male,Adult,0,0,7.13,England
592,1,1,female,Middle-aged,1,0,78.27,France
593,0,3,male,Middle-aged,0,0,7.25,England
594,0,3,female,Adult,0,2,7.75,Ireland
595,0,2,male,Middle-aged,1,0,26.0,England
596,0,3,male,Middle-aged,1,1,24.15,England
597,1,2,female,Adult,0,0,33.0,England
598,0,3,male,Middle-aged,0,0,0.0,England
599,0,3,male,Adult,0,0,7.23,France
600,1,1,male,Middle-aged,1,0,56.93,France
601,1,2,female,Adult,2,1,27.0,England
602,0,3,male,Adult,0,0,7.9,England
603,0,1,male,Adult,0,0,42.4,England
604,0,3,male,Middle-aged,0,0,8.05,England
605,1,1,male,Adult,0,0,26.55,France
606,0,3,male,Middle-aged,1,0,15.55,England
607,0,3,male,Adult,0,0,7.9,England
608,1,1,male,Adult,0,0,30.5,England
